Player,Wingspan-in,Height-in,DWS,Pos
Ben Moore,82.5,80,0,PF
Monte Morris,76,73.25,0,PG
Xavier Munford,76.5,75,0,SG
Chinanu Onuaku,87,82,0,C
Marcus Paige,78.25,72.5,0,PG
Justin Patton,86.5,84,0,C
Adreian Payne,88,81,0,PF
Kendrick Perkins,88,82,0,C
London Perrantes,75,74,0,PG
Alec Peters,82.75,79.25,0,PF
Marshall Plumlee,81,85,0,C
Jacob Pullen,76,73,0,PG
Tim Quarterman,81.5,78,0,SG
Devin Robinson,84.25,80,0,SF
Xavier Silas,80.5,77,0,SG
Kyle Singler,82.1,79.5,0,SF
Josh Smith,84,79,0,PF
David Stockton,75.5,71,0,PG
Edmond Sumner,80,77,0,PG
Marquis Teague,78.5,74,0,PG
Jameel Warney,85.75,80,0,PF
James Webb,82,81,0,SF
Jacob Wiley,84,79,0,PF
Derrick Williams,85.5,81,0,PF
Matt Williams,79,77,0,SG
Nate Wolters,75.75,75.5,0,PG
James Young,84,77.25,0,SG
